M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
2,1,0.01,0.8,0.01,0.01,0.003429,0.19068,528,,
2,2,0.01,0.8,0.01,0.01,0.003429,0.17456,528,528,0
3,1,0.01,0.8,0.01,0.01,0.0010589,0.18208,532,,
3,2,0.01,0.8,0.01,0.01,0.00075637,0.18835,516,,
3,3,0.01,0.8,0.01,0.01,0.0012103,0.1794,536,528,6.11010092660779
4,1,0.01,0.8,0.01,0.01,0.00050424,0.19468,532,,
4,2,0.01,0.8,0.01,0.01,0.00010085,0.21469,512,,
4,3,0.01,0.8,0.01,0.01,0.00050429,0.20991,512,,
4,4,0.01,0.8,0.01,0.01,0.00040343,0.20812,504,515,5.97215762238964
5,1,0.01,0.8,0.01,0.01,0.00012606,0.22695,508,,
5,2,0.01,0.8,0.01,0.01,0,0.21986,492,,
5,3,0.01,0.8,0.01,0.01,0,0.21202,512,,
5,4,0.01,0.8,0.01,0.01,0.00012607,0.21613,484,,
5,5,0.01,0.8,0.01,0.01,0.00012607,0.23666,496,498.4,5.15363949069005
6,1,0.01,0.8,0.01,0.01,0,0.26691,496,,
6,2,0.01,0.8,0.01,0.01,0,0.2275,512,,
6,3,0.01,0.8,0.01,0.01,0,0.22615,512,,
6,4,0.01,0.8,0.01,0.01,0,0.25302,492,,
6,5,0.01,0.8,0.01,0.01,0,0.24586,504,,
6,6,0.01,0.8,0.01,0.01,0,0.25258,496,502,3.54024481262713
7,1,0.01,0.8,0.01,0.01,0,0.30199,480,,
7,2,0.01,0.8,0.01,0.01,0,0.30669,456,,
7,3,0.01,0.8,0.01,0.01,0,0.2931,448,,
7,4,0.01,0.8,0.01,0.01,0,0.31452,464,,
7,5,0.01,0.8,0.01,0.01,0,0.34274,428,,
7,6,0.01,0.8,0.01,0.01,0,0.31191,468,,
7,7,0.01,0.8,0.01,0.01,0,0.32236,460,457.714285714286,6.22481319556884
8,1,0.01,0.8,0.01,0.01,0,0.36776,444,,
8,2,0.01,0.8,0.01,0.01,0,0.43343,400,,
8,3,0.01,0.8,0.01,0.01,0,0.42269,428,,
8,4,0.01,0.8,0.01,0.01,0,0.39224,440,,
8,5,0.01,0.8,0.01,0.01,0,0.39522,424,,
8,6,0.01,0.8,0.01,0.01,0,0.41075,436,,
8,7,0.01,0.8,0.01,0.01,0,0.38627,464,,
8,8,0.01,0.8,0.01,0.01,0,0.39881,436,434,6.45865974597561
9,1,0.01,0.8,0.01,0.01,0,0.55272,308,,
9,2,0.01,0.8,0.01,0.01,0,0.53459,352,,
9,3,0.01,0.8,0.01,0.01,0,0.57555,324,,
9,4,0.01,0.8,0.01,0.01,0,0.54735,368,,
9,5,0.01,0.8,0.01,0.01,0,0.58428,288,,
9,6,0.01,0.8,0.01,0.01,0,0.56682,340,,
9,7,0.01,0.8,0.01,0.01,0,0.54668,328,,
9,8,0.01,0.8,0.01,0.01,0,0.59772,296,,
9,9,0.01,0.8,0.01,0.01,0,0.58294,320,324.888888888889,8.60949805680467
10,1,0.01,0.8,0.01,0.01,0,0.68358,240,,
10,2,0.01,0.8,0.01,0.01,0,0.6306,300,,
10,3,0.01,0.8,0.01,0.01,0,0.68134,228,,
10,4,0.01,0.8,0.01,0.01,0,0.66194,260,,
10,5,0.01,0.8,0.01,0.01,0,0.69851,248,,
10,6,0.01,0.8,0.01,0.01,0,0.69403,220,,
10,7,0.01,0.8,0.01,0.01,0,0.68134,240,,
10,8,0.01,0.8,0.01,0.01,0,0.6694,252,,
10,9,0.01,0.8,0.01,0.01,0,0.65224,264,,
10,10,0.01,0.8,0.01,0.01,0,0.64403,280,253.2,7.59063750799482
11,1,0.01,0.8,0.01,0.01,0,0.51314,344,,
11,2,0.01,0.8,0.01,0.01,0,0.48933,368,,
11,3,0.01,0.8,0.01,0.01,0,0.52463,364,,
11,4,0.01,0.8,0.01,0.01,0,0.51478,356,,
11,5,0.01,0.8,0.01,0.01,0,0.51149,368,,
11,6,0.01,0.8,0.01,0.01,0,0.54351,324,,
11,7,0.01,0.8,0.01,0.01,0,0.48276,384,,
11,8,0.01,0.8,0.01,0.01,0,0.48933,372,,
11,9,0.01,0.8,0.01,0.01,0,0.47537,352,,
11,10,0.01,0.8,0.01,0.01,0,0.52299,348,,
11,11,0.01,0.8,0.01,0.01,0,0.50082,376,,
12,1,0.01,0.8,0.01,0.01,0,0.43241,404,365.090909090909,6.2456596499337
12,2,0.01,0.8,0.01,0.01,0,0.43778,380,,
12,3,0.01,0.8,0.01,0.01,0,0.43599,384,,
12,4,0.01,0.8,0.01,0.01,0,0.4154,408,,
12,5,0.01,0.8,0.01,0.01,0,0.41987,384,,
12,6,0.01,0.8,0.01,0.01,0,0.40286,424,,
12,7,0.01,0.8,0.01,0.01,0,0.42256,404,,
12,8,0.01,0.8,0.01,0.01,0,0.42167,432,,
12,9,0.01,0.8,0.01,0.01,0,0.43241,380,,
12,10,0.01,0.8,0.01,0.01,0,0.46643,372,,
12,11,0.01,0.8,0.01,0.01,0,0.44673,396,,
12,12,0.01,0.8,0.01,0.01,0,0.43868,400,397.333333333333,5.31055742855872
13,1,0.01,0.8,0.01,0.01,0,0.40446,400,,
13,2,0.01,0.8,0.01,0.01,0,0.40155,396,,
13,3,0.01,0.8,0.01,0.01,0,0.41804,388,,
13,4,0.01,0.8,0.01,0.01,0,0.38312,416,,
13,5,0.01,0.8,0.01,0.01,0,0.38797,436,,
13,6,0.01,0.8,0.01,0.01,0,0.41028,392,,
13,7,0.01,0.8,0.01,0.01,0,0.36663,428,,
13,8,0.01,0.8,0.01,0.01,0,0.37439,436,,
13,9,0.01,0.8,0.01,0.01,0,0.40737,420,,
13,10,0.01,0.8,0.01,0.01,0,0.37439,392,,
13,11,0.01,0.8,0.01,0.01,0,0.42483,396,,
13,12,0.01,0.8,0.01,0.01,0,0.38312,380,,
13,13,0.01,0.8,0.01,0.01,0,0.37536,436,408.923076923077,5.65964293797801
14,1,0.01,0.8,0.01,0.01,0,0.39603,404,,
14,2,0.01,0.8,0.01,0.01,0,0.3302,436,,
14,3,0.01,0.8,0.01,0.01,0,0.38767,412,,
14,4,0.01,0.8,0.01,0.01,0,0.37722,404,,
14,5,0.01,0.8,0.01,0.01,0,0.37931,412,,
14,6,0.01,0.8,0.01,0.01,0,0.36468,404,,
14,7,0.01,0.8,0.01,0.01,0,0.36991,412,,
14,8,0.01,0.8,0.01,0.01,0,0.3605,420,,
14,9,0.01,0.8,0.01,0.01,0,0.37409,376,,
14,10,0.01,0.8,0.01,0.01,0,0.35005,408,,
14,11,0.01,0.8,0.01,0.01,0,0.37513,404,,
14,12,0.01,0.8,0.01,0.01,0,0.39498,412,,
14,13,0.01,0.8,0.01,0.01,0,0.36991,416,,
14,14,0.01,0.8,0.01,0.01,0,0.36782,432,410.857142857143,3.78379590622547
15,1,0.01,0.8,0.01,0.01,0,0.32363,424,,
15,2,0.01,0.8,0.01,0.01,0,0.35386,428,,
15,3,0.01,0.8,0.01,0.01,0,0.35498,412,,
15,4,0.01,0.8,0.01,0.01,0,0.36842,416,,
15,5,0.01,0.8,0.01,0.01,0,0.35722,408,,
15,6,0.01,0.8,0.01,0.01,0,0.32475,420,,
15,7,0.01,0.8,0.01,0.01,0,0.35162,408,,
15,8,0.01,0.8,0.01,0.01,0,0.3561,416,,
15,9,0.01,0.8,0.01,0.01,0,0.33707,428,,
15,10,0.01,0.8,0.01,0.01,0,0.35386,384,,
15,11,0.01,0.8,0.01,0.01,0,0.37738,384,,
15,12,0.01,0.8,0.01,0.01,0,0.3673,356,,
15,13,0.01,0.8,0.01,0.01,0,0.34267,432,,
15,14,0.01,0.8,0.01,0.01,0,0.33147,420,,
15,15,0.01,0.8,0.01,0.01,0,0.36058,384,408,5.56177429723046
16,1,0.01,0.8,0.01,0.01,0,0.358,412,,
16,2,0.01,0.8,0.01,0.01,0,0.358,392,,
16,3,0.01,0.8,0.01,0.01,0,0.36158,436,,
16,4,0.01,0.8,0.01,0.01,0,0.3568,432,,
16,5,0.01,0.8,0.01,0.01,0,0.36277,404,,
16,6,0.01,0.8,0.01,0.01,0,0.35442,432,,
16,7,0.01,0.8,0.01,0.01,0,0.33055,408,,
16,8,0.01,0.8,0.01,0.01,0,0.33294,412,,
16,9,0.01,0.8,0.01,0.01,0,0.36396,396,,
16,10,0.01,0.8,0.01,0.01,0,0.36874,404,,
16,11,0.01,0.8,0.01,0.01,0,0.35084,376,,
16,12,0.01,0.8,0.01,0.01,0,0.35561,388,,
16,13,0.01,0.8,0.01,0.01,0,0.36396,396,,
16,14,0.01,0.8,0.01,0.01,0,0.34606,404,,
16,15,0.01,0.8,0.01,0.01,0,0.37232,392,,
16,16,0.01,0.8,0.01,0.01,0,0.36038,388,404.5,4.30309965799848
17,1,0.01,0.8,0.01,0.01,0,0.33883,404,,
17,2,0.01,0.8,0.01,0.01,0,0.37056,384,,
17,3,0.01,0.8,0.01,0.01,0,0.36294,396,,
17,4,0.01,0.8,0.01,0.01,0,0.34264,388,,
17,5,0.01,0.8,0.01,0.01,0,0.34264,404,,
17,6,0.01,0.8,0.01,0.01,0,0.33503,400,,
17,7,0.01,0.8,0.01,0.01,0,0.30584,444,,
17,8,0.01,0.8,0.01,0.01,0,0.34137,408,,
17,9,0.01,0.8,0.01,0.01,0,0.34898,408,,
17,10,0.01,0.8,0.01,0.01,0,0.3731,388,,
17,11,0.01,0.8,0.01,0.01,0,0.32995,408,,
17,12,0.01,0.8,0.01,0.01,0,0.36041,392,,
17,13,0.01,0.8,0.01,0.01,0,0.31853,404,,
17,14,0.01,0.8,0.01,0.01,0,0.32868,400,,
17,15,0.01,0.8,0.01,0.01,0,0.36675,380,,
17,16,0.01,0.8,0.01,0.01,0,0.36041,404,,
17,17,0.01,0.8,0.01,0.01,0,0.34772,408,401.176470588235,3.46010380467123
18,1,0.01,0.8,0.01,0.01,0,0.32752,416,,
18,2,0.01,0.8,0.01,0.01,0,0.32081,408,,
18,3,0.01,0.8,0.01,0.01,0,0.32081,440,,
18,4,0.01,0.8,0.01,0.01,0,0.31812,420,,
18,5,0.01,0.8,0.01,0.01,0,0.31275,420,,
18,6,0.01,0.8,0.01,0.01,0,0.30872,416,,
18,7,0.01,0.8,0.01,0.01,0,0.34094,408,,
18,8,0.01,0.8,0.01,0.01,0,0.32752,400,,
18,9,0.01,0.8,0.01,0.01,0,0.34631,400,,
18,10,0.01,0.8,0.01,0.01,0,0.30201,440,,
18,11,0.01,0.8,0.01,0.01,0,0.33423,420,,
18,12,0.01,0.8,0.01,0.01,0,0.32483,428,,
18,13,0.01,0.8,0.01,0.01,0,0.28591,424,,
18,14,0.01,0.8,0.01,0.01,0,0.31946,412,,
18,15,0.01,0.8,0.01,0.01,0,0.33289,420,,
18,16,0.01,0.8,0.01,0.01,0,0.31946,432,,
18,17,0.01,0.8,0.01,0.01,0,0.31678,412,,
18,18,0.01,0.8,0.01,0.01,0,0.31946,408,418,2.76769411585786
19,1,0.01,0.8,0.01,0.01,0,0.28652,428,,
19,2,0.01,0.8,0.01,0.01,0,0.32057,424,,
19,3,0.01,0.8,0.01,0.01,0,0.31206,412,,
19,4,0.01,0.8,0.01,0.01,0,0.29078,408,,
19,5,0.01,0.8,0.01,0.01,0,0.31773,420,,
19,6,0.01,0.8,0.01,0.01,0,0.32766,404,,
19,7,0.01,0.8,0.01,0.01,0,0.34326,428,,
19,8,0.01,0.8,0.01,0.01,0,0.29645,432,,
19,9,0.01,0.8,0.01,0.01,0,0.33333,412,,
19,10,0.01,0.8,0.01,0.01,0,0.30213,452,,
19,11,0.01,0.8,0.01,0.01,0,0.3305,404,,
19,12,0.01,0.8,0.01,0.01,0,0.33475,404,,
19,13,0.01,0.8,0.01,0.01,0,0.27801,452,,
19,14,0.01,0.8,0.01,0.01,0,0.30355,388,,
19,15,0.01,0.8,0.01,0.01,0,0.36312,396,,
19,16,0.01,0.8,0.01,0.01,0,0.29645,432,,
19,17,0.01,0.8,0.01,0.01,0,0.29362,440,,
19,18,0.01,0.8,0.01,0.01,0,0.33191,408,,
19,19,0.01,0.8,0.01,0.01,0,0.33333,388,417.473684210526,4.38189284652608
20,1,0.01,0.8,0.01,0.01,0,0.32687,392,,
20,2,0.01,0.8,0.01,0.01,0,0.33582,400,,
20,3,0.01,0.8,0.01,0.01,0,0.32985,412,,
20,4,0.01,0.8,0.01,0.01,0,0.36269,380,,
20,5,0.01,0.8,0.01,0.01,0,0.33433,392,,
20,6,0.01,0.8,0.01,0.01,0,0.30896,388,,
20,7,0.01,0.8,0.01,0.01,0,0.32388,388,,
20,8,0.01,0.8,0.01,0.01,0,0.30149,416,,
20,9,0.01,0.8,0.01,0.01,0,0.32239,400,,
20,10,0.01,0.8,0.01,0.01,0,0.32239,404,,
20,11,0.01,0.8,0.01,0.01,0,0.33284,404,,
20,12,0.01,0.8,0.01,0.01,0,0.34179,396,,
20,13,0.01,0.8,0.01,0.01,0,0.28806,420,,
20,14,0.01,0.8,0.01,0.01,0,0.33134,404,,
20,15,0.01,0.8,0.01,0.01,0,0.29701,428,,
20,16,0.01,0.8,0.01,0.01,0,0.31194,420,,
20,17,0.01,0.8,0.01,0.01,0,0.30597,428,,
20,18,0.01,0.8,0.01,0.01,0,0.31045,428,,
20,19,0.01,0.8,0.01,0.01,0,0.34627,408,,
