M,begin,in,fdb,int,w_d,TrErr,TrErr,,alpha,Score
2,1,0.01,0.8,0.01,0.01,0.032323,0.8032,,0.01,104
2,1,0.01,0.8,0.01,0.01,0.033584,0.78752,,0.02,144
2,1,0.01,0.8,0.01,0.01,0.034491,0.76318,,0.03,152
2,1,0.01,0.8,0.01,0.01,0.037063,0.71973,,0.04,160
2,1,0.01,0.8,0.01,0.01,0.038778,0.67612,,0.05,208
2,1,0.01,0.8,0.01,0.01,0.039786,0.60878,,0.06,268
2,1,0.01,0.8,0.01,0.01,0.041349,0.55099,,0.07,296
2,1,0.01,0.8,0.01,0.01,0.042761,0.51486,,0.08,308
2,1,0.01,0.8,0.01,0.01,0.043165,0.472,,0.09,348
2,1,0.01,0.8,0.01,0.01,0.043266,0.44468,,0.1,360
2,1,0.01,0.8,0.01,0.01,0.043619,0.4069,,0.11,396
2,1,0.01,0.8,0.01,0.01,0.043467,0.38375,,0.12,408
2,1,0.01,0.8,0.01,0.01,0.043064,0.36016,,0.13,420
2,1,0.01,0.8,0.01,0.01,0.04261,0.34224,,0.14,440
2,1,0.01,0.8,0.01,0.01,0.041702,0.32044,,0.15,456
2,1,0.01,0.8,0.01,0.01,0.041551,0.31014,,0.16,468
2,1,0.01,0.8,0.01,0.01,0.0414,0.29431,,0.17,464
2,1,0.01,0.8,0.01,0.01,0.040795,0.28251,,0.18,480
2,1,0.01,0.8,0.01,0.01,0.040593,0.27042,,0.19,472
2,1,0.01,0.8,0.01,0.01,0.040694,0.26116,,0.2,480
2,1,0.01,0.8,0.01,0.01,0.040341,0.25399,,0.21,488
2,1,0.01,0.8,0.01,0.01,0.040139,0.24981,,0.22,492
2,1,0.01,0.8,0.01,0.01,0.039736,0.24414,,0.23,488
2,1,0.01,0.8,0.01,0.01,0.039383,0.23861,,0.24,488
2,1,0.01,0.8,0.01,0.01,0.039181,0.23339,,0.25,480
2,1,0.01,0.8,0.01,0.01,0.039131,0.22995,,0.26,484
2,1,0.01,0.8,0.01,0.01,0.038929,0.22861,,0.27,488
2,1,0.01,0.8,0.01,0.01,0.038929,0.22742,,0.28,476
2,1,0.01,0.8,0.01,0.01,0.038626,0.22622,,0.29,488
2,1,0.01,0.8,0.01,0.01,0.038223,0.22383,,0.3,496
2,1,0.01,0.8,0.01,0.01,0.037567,0.22368,,0.31,488
2,1,0.01,0.8,0.01,0.01,0.037618,0.21995,,0.32,492
2,1,0.01,0.8,0.01,0.01,0.037467,0.2195,,0.33,488
