(2, 510) +- (0.0, 6.0)
(3, 513) +- (0.0, 5.33333333333333)
(4, 508) +- (0.0, 5.8878405775519)
(5, 491) +- (0.0, 1.49666295470958)
(6, 486) +- (0.0, 3.68781778291715)
(7, 485) +- (0.0, 3.46017183325428)
(8, 474) +- (0.0, 5.80332417055703)
(9, 450) +- (0.0, 5.37943041640454)
(10, 434) +- (0.0, 4.43220537029191)
(11, 414) +- (0.0, 3.20742939217454)
(12, 402) +- (0.0, 4.95943137828921)
(13, 373) +- (0.0, 5.08701405851784)
(14, 354) +- (0.0, 4.49105162973811)
(15, 318) +- (0.0, 5.42118126880169)
(16, 308) +- (0.0, 5.3650100962937)
(17, 250) +- (0.0, 5.59473306443513)
(18, 221) +- (0.0, 4.4873743643191)
(19, 156) +- (0.0, 5.10836705548165)
(20, 150) +- (0.0, 4.49935667916157)
