M,begin,in,,int,w_d,TrErr,TrErr,Score,alpha,score
0.033659,0.80768,0.01,,0,0,0,0,0,0.01,136
0.036357,0.72704,0.02,,0,0,0,0,0,0.02,200
0.040744,0.63357,0.03,,0,0,0,0,0,0.03,244
0.044173,0.54412,0.04,,0,0,0,0,0,0.04,300
0.045031,0.46192,0.05,,0,0,0,0,0,0.05,356
0.045409,0.39876,0.06,,0,0,0,0,0,0.06,400
0.045585,0.35068,0.07,,0,0,0,0,0,0.07,428
0.044551,0.32149,0.08,,0,0,0,0,0,0.08,432
0.044299,0.29618,0.09,,0,0,0,0,0,0.09,452
0.043745,0.2752,0.1,,0,0,0,0,0,0.1,456
0.042913,0.26206,0.11,,0,0,0,0,0,0.11,480
0.041728,0.24937,0.12,,0,0,0,0,0,0.12,484
0.041576,0.2363,0.13,,0,0,0,0,0,0.13,488
0.040971,0.23234,0.14,,0,0,0,0,0,0.14,496
0.04029,0.226,0.15,,0,0,0,0,0,0.15,496
0.039711,0.21853,0.16,,0,0,0,0,0,0.16,500
0.039963,0.21816,0.17,,0,0,0,0,0,0.17,500
0.039862,0.2148,0.18,,0,0,0,0,0,0.18,504
0.040316,0.21405,0.19,,0,0,0,0,0,0.19,500
0.040215,0.21136,0.2,,0,0,0,0,0,0.2,496
0.040543,0.20838,0.21,,0,0,0,0,0,0.21,500
0.04077,0.20711,0.22,,0,0,0,0,0,0.22,496
0.040971,0.20517,0.23,,0,0,0,0,0,0.23,500
0.041022,0.20337,0.24,,0,0,0,0,0,0.24,504
0.041249,0.20151,0.25,,0,0,0,0,0,0.25,508
0.041576,0.20084,0.26,,0,0,0,0,0,0.26,504
0.04145,0.20054,0.27,,0,0,0,0,0,0.27,512
0.041854,0.1983,0.28,,0,0,0,0,0,0.28,504
0.042307,0.19651,0.29,,0,0,0,0,0,0.29,504
0.042635,0.19792,0.3,,0,0,0,0,0,0.3,500
0.04261,0.19598,0.31,,0,0,0,0,0,0.31,500
0.042862,0.19606,0.32,,0,0,0,0,0,0.32,500
0.04314,0.19554,0.33,,0,0,0,0,0,0.33,496
0.04377,0.19479,0.34,,0,0,0,0,0,0.34,504
0.044325,0.19412,0.35,,0,0,0,0,0,0.35,500
0.044652,0.19434,0.36,,0,0,0,0,0,0.36,500
0.045005,0.19344,0.37,,0,0,0,0,0,0.37,500
0.045283,0.19494,0.38,,0,0,0,0,0,0.38,500
0.045888,0.19471,0.39,,0,0,0,0,0,0.39,500
0.046216,0.19367,0.4,,0,0,0,0,0,0.4,500
0.046972,0.19412,0.41,,0,0,0,0,0,0.41,500
0.047401,0.19471,0.42,,0,0,0,0,0,0.42,500
0.047829,0.19397,0.43,,0,0,0,0,0,0.43,504
0.048737,0.19576,0.44,,0,0,0,0,0,0.44,504
0.04914,0.19516,0.45,,0,0,0,0,0,0.45,500
0.049871,0.19695,0.46,,0,0,0,0,0,0.46,508
0.050174,0.1971,0.47,,0,0,0,0,0,0.47,500
0.050729,0.19875,0.48,,0,0,0,0,0,0.48,508
0.051334,0.19904,0.49,,0,0,0,0,0,0.49,508
0.051989,0.19934,0.5,,0,0,0,0,0,0.5,508
0.051888,0.19897,0.51,,0,0,0,0,0,0.51,496
0.052418,0.19964,0.52,,0,0,0,0,0,0.52,504
0.052695,0.20091,0.53,,0,0,0,0,0,0.53,500
0.053124,0.20188,0.54,,0,0,0,0,0,0.54,500
0.053931,0.20248,0.55,,0,0,0,0,0,0.55,500
0.054637,0.20337,0.56,,0,0,0,0,0,0.56,504
0.055065,0.20293,0.57,,0,0,0,0,0,0.57,500
0.055897,0.20337,0.58,,0,0,0,0,0,0.58,500
0.055494,0.20352,0.59,,0,0,0,0,0,0.59,508
0.056906,0.20569,0.6,,0,0,0,0,0,0.6,496
0.057561,0.20308,0.61,,0,0,0,0,0,0.61,500
0.057587,0.2042,0.62,,0,0,0,0,0,0.62,500
0.058242,0.20435,0.63,,0,0,0,0,0,0.63,504
0.058696,0.20472,0.64,,0,0,0,0,0,0.64,504
0.059175,0.20547,0.65,,0,0,0,0,0,0.65,504
0.059931,0.20591,0.66,,0,0,0,0,0,0.66,504
0.06036,0.20576,0.67,,0,0,0,0,0,0.67,500
0.060663,0.20666,0.68,,0,0,0,0,0,0.68,492
0.061167,0.20606,0.69,,0,0,0,0,0,0.69,496
0.061848,0.20629,0.7,,0,0,0,0,0,0.7,496
0.0621,0.20651,0.71,,0,0,0,0,0,0.71,500
0.063386,0.20718,0.72,,0,0,0,0,0,0.72,496
0.063739,0.20726,0.73,,0,0,0,0,0,0.73,500
