Pech,in,fdb,int,w_d,TrErr,TrErr,Score,,,
,0.001,0,0.01,0.01,0.01059,0.39507,440,,,
,0.01,0,0.01,0.01,0.0025214,0.30246,468,,,
,0.1,0,0.01,0.01,0.0045386,0.32786,444,,,
,0.001,0.2,0.01,0.01,0.00706,0.40777,420,,,
,0.01,0.2,0.01,0.01,0.0010086,0.30993,444,,,
,0.1,0.2,0.01,0.01,0.0020171,0.31441,456,,,
,0.001,0.4,0.01,0.01,0.0055472,0.5168,316,,,
,0.01,0.4,0.01,0.01,0,0.29276,440,,,
,0.1,0.4,0.01,0.01,0.0020171,0.30246,452,,,
,0.001,0.6,0.01,0.01,0.0060514,0.57356,316,,,
,0.01,0.6,0.01,0.01,0.00050429,0.27633,448,,,
,0.1,0.6,0.01,0.01,0.0010086,0.3062,456,,,
,0.001,0.8,0.01,0.01,0.0098336,0.61912,280,,,
,0.01,0.8,0.01,0.01,0,0.28529,452,,,
,0.1,0.8,0.01,0.01,0.0032779,0.32114,440,,,
,0.001,1,0.01,0.01,0.012859,0.58476,320,,,
,0.01,1,0.01,0.01,0,0.3174,400,,,
0.1,0.1,1,0.01,0.01,0.0020171,0.33981,432,,412.444444444444,14.0991406177226
,0.001,0,0.01,0.01,0.058497,0.31292,452,,,
,0.01,0,0.01,0.01,0.024584,0.22928,504,,,
,0.1,0,0.01,0.01,0.035552,0.26774,468,,,
,0.001,0.2,0.01,0.01,0.046142,0.32001,444,,,
,0.01,0.2,0.01,0.01,0.01702,0.21845,504,,,
,0.1,0.2,0.01,0.01,0.030131,0.25952,476,,,
,0.001,0.4,0.01,0.01,0.050807,0.40926,400,,,
,0.01,0.4,0.01,0.01,0.013994,0.21434,504,,,
,0.1,0.4,0.01,0.01,0.024836,0.2599,500,,,
,0.001,0.6,0.01,0.01,0.048285,0.51046,368,,,
,0.01,0.6,0.01,0.01,0.0099597,0.20612,508,,,
,0.1,0.6,0.01,0.01,0.02408,0.24645,488,,,
,0.001,0.8,0.01,0.01,0.069592,0.51568,368,,,
,0.01,0.8,0.01,0.01,0.0064297,0.19866,504,,,
,0.1,0.8,0.01,0.01,0.022441,0.2345,488,,,
,0.001,1,0.01,0.01,0.089385,0.45855,392,,,
,0.01,1,0.01,0.01,0.0039082,0.23189,472,,,
0.2,0.1,1,0.01,0.01,0.022189,0.23637,484,,462.444444444444,10.8819457641278
,0.001,0,0.01,0.01,0.075139,0.2951,468,,,
,0.01,0,0.01,0.01,0.030761,0.2279,508,,,
,0.1,0,0.01,0.01,0.045487,0.25986,468,,,
,0.001,0.2,0.01,0.01,0.063843,0.30317,468,,,
,0.01,0.2,0.01,0.01,0.023903,0.20968,516,,,
,0.1,0.2,0.01,0.01,0.039334,0.26165,480,,,
,0.001,0.4,0.01,0.01,0.063944,0.39725,420,,,
,0.01,0.4,0.01,0.01,0.018356,0.21446,508,,,
,0.1,0.4,0.01,0.01,0.03409,0.24851,484,,,
,0.001,0.6,0.01,0.01,0.076046,0.47372,384,,,
,0.01,0.6,0.01,0.01,0.012305,0.20759,508,,,
,0.1,0.6,0.01,0.01,0.030459,0.25329,484,,,
,0.001,0.8,0.01,0.01,0.092083,0.48626,368,,,
,0.01,0.8,0.01,0.01,0.0079677,0.19833,520,,,
,0.1,0.8,0.01,0.01,0.031266,0.24044,476,,,
,0.001,1,0.01,0.01,0.12113,0.43996,396,,,
,0.01,1,0.01,0.01,0.005648,0.22491,488,,,
0.25,0.1,1,0.01,0.01,0.030661,0.23029,496,,468.888888888889,10.3248557843826
,0.001,0,0.01,0.01,0.10579,0.28251,444,,,
,0.01,0,0.01,0.01,0.052544,0.2077,508,,,
,0.1,0,0.01,0.01,0.069588,0.23055,492,,,
,0.001,0.2,0.01,0.01,0.095557,0.28998,436,,,
,0.01,0.2,0.01,0.01,0.045031,0.20472,492,,,
,0.1,0.2,0.01,0.01,0.064394,0.23115,484,,,
,0.001,0.4,0.01,0.01,0.095003,0.34299,416,,,
,0.01,0.4,0.01,0.01,0.036861,0.20099,508,,,
,0.1,0.4,0.01,0.01,0.059604,0.2313,500,,,
,0.001,0.6,0.01,0.01,0.11931,0.45453,408,,,
,0.01,0.6,0.01,0.01,0.029045,0.19337,520,,,
,0.1,0.6,0.01,0.01,0.057234,0.23294,504,,,
,0.001,0.8,0.01,0.01,0.15859,0.45886,396,,,
