M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
2,1,0.01,0.8,0.01,0.01,0.024255,0.18934,508,,
2,2,0.01,0.8,0.01,0.01,0.022187,0.18964,512,510,2
3,1,0.01,0.8,0.01,0.01,0.015279,0.1944,508,,
3,2,0.01,0.8,0.01,0.01,0.014598,0.18656,508,,
3,3,0.01,0.8,0.01,0.01,0.014372,0.18544,508,508,0
4,1,0.01,0.8,0.01,0.01,0.0075635,0.20245,496,,
4,2,0.01,0.8,0.01,0.01,0.0076644,0.19259,504,,
4,3,0.01,0.8,0.01,0.01,0.0085729,0.19379,508,,
4,4,0.01,0.8,0.01,0.01,0.0079677,0.20066,500,502,2.58198889747161
5,1,0.01,0.8,0.01,0.01,0.0051683,0.20754,492,,
5,2,0.01,0.8,0.01,0.01,0.0040338,0.21762,504,,
5,3,0.01,0.8,0.01,0.01,0.0049168,0.21015,476,,
5,4,0.01,0.8,0.01,0.01,0.0056732,0.20941,484,,
5,5,0.01,0.8,0.01,0.01,0.0064297,0.20455,500,491.2,5.12249938994628
6,1,0.01,0.8,0.01,0.01,0.0048404,0.20287,480,,
6,2,0.01,0.8,0.01,0.01,0.0037816,0.21809,484,,
6,3,0.01,0.8,0.01,0.01,0.0036309,0.21988,492,,
6,4,0.01,0.8,0.01,0.01,0.0028744,0.22078,492,,
6,5,0.01,0.8,0.01,0.01,0.0043873,0.20779,500,,
6,6,0.01,0.8,0.01,0.01,0.0027231,0.20376,496,490.666666666667,3.04046780026437
7,1,0.01,0.8,0.01,0.01,0.0017649,0.21421,504,,
7,2,0.01,0.8,0.01,0.01,0.0021179,0.23877,472,,
7,3,0.01,0.8,0.01,0.01,0.0024709,0.23354,472,,
7,4,0.01,0.8,0.01,0.01,0.0017649,0.22048,472,,
7,5,0.01,0.8,0.01,0.01,0.0021179,0.2372,468,,
7,6,0.01,0.8,0.01,0.01,0.0022944,0.23824,488,,
7,7,0.01,0.8,0.01,0.01,0.0012354,0.23041,476,478.857142857143,4.83749527588583
8,1,0.01,0.8,0.01,0.01,0.0012102,0.25015,480,,
8,2,0.01,0.8,0.01,0.01,0.00080678,0.24119,452,,
8,3,0.01,0.8,0.01,0.01,0.00060508,0.25075,456,,
8,4,0.01,0.8,0.01,0.01,0.00080678,0.23522,476,,
8,5,0.01,0.8,0.01,0.01,0.0012102,0.23164,496,,
8,6,0.01,0.8,0.01,0.01,0.00060508,0.24955,476,,
8,7,0.01,0.8,0.01,0.01,0.0012104,0.24,464,,
8,8,0.01,0.8,0.01,0.01,0.0014121,0.24239,476,472,5.01426536422407
9,1,0.01,0.8,0.01,0.01,0,0.24916,464,,
9,2,0.01,0.8,0.01,0.01,0.00045382,0.24513,476,,
9,3,0.01,0.8,0.01,0.01,0.00068074,0.25655,456,,
9,4,0.01,0.8,0.01,0.01,0.00045382,0.24782,476,,
9,5,0.01,0.8,0.01,0.01,0.00022691,0.24244,484,,
9,6,0.01,0.8,0.01,0.01,0.00045382,0.23439,484,,
9,7,0.01,0.8,0.01,0.01,0.00022691,0.26595,456,,
9,8,0.01,0.8,0.01,0.01,0.00045382,0.24647,484,,
9,9,0.01,0.8,0.01,0.01,0.00022696,0.24312,476,472.888888888889,3.81679200829282
10,1,0.01,0.8,0.01,0.01,0.00025208,0.27687,456,,
10,2,0.01,0.8,0.01,0.01,0.00025208,0.29701,420,,
10,3,0.01,0.8,0.01,0.01,0.00025214,0.26493,448,,
10,4,0.01,0.8,0.01,0.01,0,0.2791,464,,
10,5,0.01,0.8,0.01,0.01,0.00025214,0.28134,484,,
10,6,0.01,0.8,0.01,0.01,0,0.27985,452,,
10,7,0.01,0.8,0.01,0.01,0.00075643,0.26343,460,,
10,8,0.01,0.8,0.01,0.01,0,0.27537,456,,
10,9,0.01,0.8,0.01,0.01,0.00025214,0.26642,452,,
10,10,0.01,0.8,0.01,0.01,0,0.26716,456,454.8,4.99065793925677
11,1,0.01,0.8,0.01,0.01,0.00027732,0.3087,420,,
11,2,0.01,0.8,0.01,0.01,0,0.30131,408,,
11,3,0.01,0.8,0.01,0.01,0,0.28243,436,,
11,4,0.01,0.8,0.01,0.01,0,0.27586,464,,
11,5,0.01,0.8,0.01,0.01,0,0.30378,428,,
11,6,0.01,0.8,0.01,0.01,0,0.29064,452,,
11,7,0.01,0.8,0.01,0.01,0,0.27833,432,,
11,8,0.01,0.8,0.01,0.01,0,0.28982,440,,
11,9,0.01,0.8,0.01,0.01,0,0.27668,436,,
11,10,0.01,0.8,0.01,0.01,0,0.28571,472,,
11,11,0.01,0.8,0.01,0.01,0,0.30788,416,,
12,1,0.01,0.8,0.01,0.01,0,0.33214,424,437.090909090909,5.83633531570586
12,2,0.01,0.8,0.01,0.01,0,0.32945,440,,
12,3,0.01,0.8,0.01,0.01,0,0.30349,468,,
12,4,0.01,0.8,0.01,0.01,0,0.33124,460,,
12,5,0.01,0.8,0.01,0.01,0.00030257,0.30976,456,,
12,6,0.01,0.8,0.01,0.01,0,0.28469,440,,
12,7,0.01,0.8,0.01,0.01,0.00030257,0.32587,424,,
12,8,0.01,0.8,0.01,0.01,0,0.32498,424,,
12,9,0.01,0.8,0.01,0.01,0,0.3214,436,,
12,10,0.01,0.8,0.01,0.01,0,0.33662,420,,
12,11,0.01,0.8,0.01,0.01,0,0.31155,452,,
12,12,0.01,0.8,0.01,0.01,0,0.34467,428,439.333333333333,4.69256880825439
13,1,0.01,0.8,0.01,0.01,0,0.35597,408,,
13,2,0.01,0.8,0.01,0.01,0,0.35015,400,,
13,3,0.01,0.8,0.01,0.01,0,0.35403,428,,
13,4,0.01,0.8,0.01,0.01,0,0.36663,416,,
13,5,0.01,0.8,0.01,0.01,0,0.33754,412,,
13,6,0.01,0.8,0.01,0.01,0,0.33754,432,,
13,7,0.01,0.8,0.01,0.01,0,0.37536,404,,
13,8,0.01,0.8,0.01,0.01,0,0.35112,408,,
13,9,0.01,0.8,0.01,0.01,0,0.35112,416,,
13,10,0.01,0.8,0.01,0.01,0,0.34724,428,,
13,11,0.01,0.8,0.01,0.01,0,0.3579,432,,
13,12,0.01,0.8,0.01,0.01,0,0.35209,404,,
13,13,0.01,0.8,0.01,0.01,0,0.355,412,415.384615384615,3.09991410455537
14,1,0.01,0.8,0.01,0.01,0,0.37827,380,,
14,2,0.01,0.8,0.01,0.01,0,0.39603,384,,
14,3,0.01,0.8,0.01,0.01,0,0.38767,376,,
14,4,0.01,0.8,0.01,0.01,0,0.36573,396,,
14,5,0.01,0.8,0.01,0.01,0,0.39185,396,,
14,6,0.01,0.8,0.01,0.01,0,0.40543,392,,
14,7,0.01,0.8,0.01,0.01,0,0.38454,388,,
14,8,0.01,0.8,0.01,0.01,0,0.36991,424,,
14,9,0.01,0.8,0.01,0.01,0,0.33647,420,,
14,10,0.01,0.8,0.01,0.01,0,0.3814,400,,
14,11,0.01,0.8,0.01,0.01,0,0.38454,404,,
14,12,0.01,0.8,0.01,0.01,0,0.41797,404,,
14,13,0.01,0.8,0.01,0.01,0,0.41379,340,,
14,14,0.01,0.8,0.01,0.01,0,0.3814,416,394.285714285714,5.68343319419182
15,1,0.01,0.8,0.01,0.01,0,0.41993,384,,
15,2,0.01,0.8,0.01,0.01,0,0.43001,372,,
15,3,0.01,0.8,0.01,0.01,0,0.46137,352,,
15,4,0.01,0.8,0.01,0.01,0,0.44905,360,,
15,5,0.01,0.8,0.01,0.01,0,0.41209,380,,
15,6,0.01,0.8,0.01,0.01,0,0.47704,340,,
15,7,0.01,0.8,0.01,0.01,0,0.42777,392,,
15,8,0.01,0.8,0.01,0.01,0,0.41993,388,,
15,9,0.01,0.8,0.01,0.01,0,0.42441,388,,
15,10,0.01,0.8,0.01,0.01,0,0.43449,360,,
15,11,0.01,0.8,0.01,0.01,0,0.44457,372,,
15,12,0.01,0.8,0.01,0.01,0,0.43561,400,,
15,13,0.01,0.8,0.01,0.01,0,0.47256,352,,
15,14,0.01,0.8,0.01,0.01,0,0.41993,380,,
15,15,0.01,0.8,0.01,0.01,0,0.45017,388,373.866666666667,4.51649534027548
