M,begin,in,fdb,int,w_d,TrErr,TrErr,Score,,
2,1,0.01,0.2,0.01,0.01,0.017447,0.19456,516,,
2,2,0.01,0.2,0.01,0.01,0.017599,0.19292,504,510,6
3,1,0.01,0.2,0.01,0.01,0.012783,0.19261,508,,
3,2,0.01,0.2,0.01,0.01,0.011951,0.19978,508,,
3,3,0.01,0.2,0.01,0.01,0.011498,0.19059,524,513.333333333333,5.33333333333333
4,1,0.01,0.2,0.01,0.01,0.0088745,0.1923,508,,
4,2,0.01,0.2,0.01,0.01,0.0075635,0.19379,524,,
4,3,0.01,0.2,0.01,0.01,0.0069592,0.20215,496,,
4,4,0.01,0.2,0.01,0.01,0.0086737,0.20543,504,508,5.8878405775519
5,1,0.01,0.2,0.01,0.01,0.004538,0.22956,492,,
5,2,0.01,0.2,0.01,0.01,0.0032774,0.23031,488,,
5,3,0.01,0.2,0.01,0.01,0.0056732,0.21874,488,,
5,4,0.01,0.2,0.01,0.01,0.0037821,0.22247,492,,
5,5,0.01,0.2,0.01,0.01,0.0045386,0.20567,496,491.2,1.49666295470958
6,1,0.01,0.2,0.01,0.01,0.0034791,0.22212,496,,
6,2,0.01,0.2,0.01,0.01,0.0027227,0.22481,484,,
6,3,0.01,0.2,0.01,0.01,0.0015129,0.22526,492,,
6,4,0.01,0.2,0.01,0.01,0.0027231,0.24451,472,,
6,5,0.01,0.2,0.01,0.01,0.0034796,0.22794,480,,
6,6,0.01,0.2,0.01,0.01,0.0019667,0.2266,492,486,3.68781778291715
7,1,0.01,0.2,0.01,0.01,0.00052947,0.22362,496,,
7,2,0.01,0.2,0.01,0.01,0.00070597,0.26176,488,,
7,3,0.01,0.2,0.01,0.01,0.0015884,0.23929,488,,
7,4,0.01,0.2,0.01,0.01,0.0017649,0.23354,484,,
7,5,0.01,0.2,0.01,0.01,0.0015884,0.25235,480,,
7,6,0.01,0.2,0.01,0.01,0.0024709,0.24556,492,,
7,7,0.01,0.2,0.01,0.01,0.0015884,0.25601,468,485.142857142857,3.46017183325428
8,1,0.01,0.2,0.01,0.01,0.00060508,0.25015,484,,
8,2,0.01,0.2,0.01,0.01,0.00040339,0.27164,452,,
8,3,0.01,0.2,0.01,0.01,0.00060508,0.26328,456,,
8,4,0.01,0.2,0.01,0.01,0.00060508,0.26985,488,,
8,5,0.01,0.2,0.01,0.01,0.00060508,0.24716,500,,
8,6,0.01,0.2,0.01,0.01,0.00060508,0.26627,472,,
8,7,0.01,0.2,0.01,0.01,0.0006052,0.28239,464,,
8,8,0.01,0.2,0.01,0.01,0.00020173,0.27104,472,473.5,5.80332417055703
9,1,0.01,0.2,0.01,0.01,0,0.29281,420,,
9,2,0.01,0.2,0.01,0.01,0,0.2861,460,,
9,3,0.01,0.2,0.01,0.01,0,0.28341,456,,
9,4,0.01,0.2,0.01,0.01,0.00022691,0.29483,444,,
9,5,0.01,0.2,0.01,0.01,0.00022691,0.28744,468,,
9,6,0.01,0.2,0.01,0.01,0.00022691,0.26931,468,,
9,7,0.01,0.2,0.01,0.01,0.00045382,0.29684,432,,
9,8,0.01,0.2,0.01,0.01,0.00045382,0.2814,448,,
9,9,0.01,0.2,0.01,0.01,0.00022696,0.29483,456,450.222222222222,5.37943041640454
10,1,0.01,0.2,0.01,0.01,0,0.33582,428,,
10,2,0.01,0.2,0.01,0.01,0,0.35597,416,,
10,3,0.01,0.2,0.01,0.01,0,0.31716,444,,
10,4,0.01,0.2,0.01,0.01,0,0.3194,416,,
10,5,0.01,0.2,0.01,0.01,0,0.28881,464,,
